time,Cyclone_Inlet_Gas_Temp,Cyclone_Material_Temp,Cyclone_Outlet_Gas_draft,Cyclone_cone_draft,Cyclone_Gas_Outlet_Temp,Cyclone_Inlet_Draft,Cyclone_Inlet_Gas_Temp_rolling_mean,Cyclone_Inlet_Gas_Temp_rolling_std,Cyclone_Inlet_Gas_Temp_diff,Cyclone_Material_Temp_rolling_mean,Cyclone_Material_Temp_rolling_std,Cyclone_Material_Temp_diff,Cyclone_Outlet_Gas_draft_rolling_mean,Cyclone_Outlet_Gas_draft_rolling_std,Cyclone_Outlet_Gas_draft_diff,Cyclone_cone_draft_rolling_mean,Cyclone_cone_draft_rolling_std,Cyclone_cone_draft_diff,Cyclone_Gas_Outlet_Temp_rolling_mean,Cyclone_Gas_Outlet_Temp_rolling_std,Cyclone_Gas_Outlet_Temp_diff,Cyclone_Inlet_Draft_rolling_mean,Cyclone_Inlet_Draft_rolling_std,Cyclone_Inlet_Draft_diff,iso_pred,svm_pred,elliptic_pred,lof_pred,anomaly_score,is_anomaly
2017-01-06 23:50:00,1007.18,951.46,-274.52,-255.59,916.57,-251.99,922.146,57.61034915707207,142.30999999999995,952.646,5.575601312870717,7.030000000000086,-218.88199999999998,31.57039071661938,-63.849999999999994,-194.576,34.752993827870476,-71.08000000000001,884.6940000000001,25.410960824024205,65.94000000000005,-184.7,38.623811955838654,-75.23000000000002,1,0,0,1,2,True
2017-01-07 00:05:00,864.65,921.56,-227.59,-213.47,843.28,-188.96,904.6439999999999,61.728411448860996,-53.98000000000002,936.82,12.331774000527169,-5.490000000000009,-252.56599999999995,32.336577277133415,59.93999999999997,-233.32200000000003,33.49744945514503,51.400000000000006,865.5799999999999,29.477391336413515,-20.930000000000064,-222.302,37.61215056334801,71.74999999999997,1,0,0,1,2,True
2017-01-19 09:25:00,919.53,0.0,-126.58,-125.95,856.92,-94.75,939.008,32.92765585338409,20.91999999999996,821.024,460.1984968793346,-971.16,-95.05199999999999,25.739965423447195,-14.61,-100.624,20.711217491981074,-12.5,877.29,21.957088832533994,-1.4300000000000637,-68.84400000000001,22.68438515807855,-9.659999999999997,1,1,1,1,4,True
2017-01-19 09:30:00,919.57,0.0,-137.13,-130.29,856.56,-101.49,936.5899999999999,34.027676970356715,0.04000000000007731,612.75,560.3053586215254,0.0,-109.28,25.317788213037385,-10.549999999999997,-111.862,17.75460419159282,-4.339999999999989,874.394,23.85996290860087,-0.36000000000001364,-80.826,20.389453891657958,-6.739999999999995,1,1,1,0,3,True
2017-01-19 09:35:00,949.91,0.0,-145.76,-138.34,882.04,-108.68,931.558,28.291509680450737,30.339999999999918,400.448,548.7450930258907,0.0,-123.958,19.07344672575387,-8.629999999999995,-122.234,13.962901919017737,-8.050000000000011,869.54,17.314841899360307,25.480000000000018,-92.602,13.989112552268553,-7.190000000000012,1,1,1,0,3,True
2017-01-19 09:40:00,878.66,0.0,-141.86,-135.91,845.87,-103.69,913.256,26.618292206664627,-71.25,194.232,434.3159554057285,0.0,-132.66,13.613168257248015,3.8999999999999773,-128.788,9.842866452416139,2.430000000000007,859.948,13.317727659023044,-36.16999999999996,-98.74,9.125667098904774,4.990000000000009,1,1,1,0,3,True
2017-01-19 09:45:00,975.35,0.0,-153.94,-149.47,888.67,-118.99,928.604,36.39192190581719,96.69000000000005,0.0,0.0,0.0,-141.054,10.170293997722972,-12.079999999999984,-135.992,8.951688108959562,-13.560000000000002,866.012,18.35746905212879,42.799999999999955,-105.52000000000001,9.041697849410145,-15.299999999999997,1,1,1,1,4,True
2017-01-22 23:25:00,1039.03,1005.39,-275.83,-277.38,917.38,-233.31,928.394,64.02106747000566,143.65999999999997,950.4,39.777538259686594,85.03999999999996,-208.92199999999997,40.34680743255768,-71.73999999999998,-206.09,42.70849447124081,-77.57999999999998,861.018,34.51962948816076,77.41999999999996,-172.21599999999998,36.35773342770357,-68.72,1,1,0,1,3,True
2017-01-22 23:30:00,1057.17,1036.02,-251.84,-245.53,958.95,-211.66,957.034,84.65923859803148,18.1400000000001,965.4680000000001,55.72004370063838,30.629999999999995,-223.464,40.026560306874174,23.98999999999998,-219.788,42.04015068954906,31.849999999999994,880.9639999999999,55.598220565048464,41.57000000000005,-184.642,37.271591997122016,21.650000000000006,1,1,0,1,3,True
2017-01-22 23:35:00,1015.86,1016.02,-120.76,-134.14,945.89,-96.3,984.992,73.59658089882868,-41.31000000000006,987.9040000000001,46.52826270130208,-20.0,-212.532,59.268129462636814,131.07999999999998,-212.692,53.936264887364985,111.39000000000001,904.7,52.13816500414675,-13.06000000000006,-175.726,52.55570216446496,115.36,1,1,0,0,2,True
2017-01-22 23:45:00,961.26,1018.56,-73.4,-80.48,913.04,-50.29,1008.476,42.255614183174934,-7.7999999999999545,1014.426,15.016313795394776,22.41999999999996,-163.692,93.32485558520877,23.22999999999999,-168.59,87.6008721417775,24.939999999999998,930.9879999999999,20.24303756849438,-6.639999999999986,-132.14399999999998,84.42334943604186,18.869999999999997,1,1,0,0,2,True
2017-01-23 05:15:00,495.33,375.95,-22.78,-39.44,459.85,-22.19,458.078,24.161756351900713,25.439999999999998,310.648,38.16884292183888,64.53999999999996,-2.758000000000002,14.377279645353525,-36.69,-19.55,13.725693060834462,-34.769999999999996,431.338,17.23418028230341,24.629999999999995,-5.346000000000001,11.786862602078868,-29.19,1,0,0,1,2,True
